Venue,Cluster_Assignment
Fitzherbert Park,-1
"Fitzherbert Park, Palmerston North",1
Forthill,1
"Forthill, Dundee",-1
Friendship Oval,1
"GB Oval, Szodliget",0
"GMHBA Stadium, South Geelong, Victoria",1
"GSSS, Sector 26",1
Gaddafi Stadium,-1
"Gaddafi Stadium, Lahore",1
"Gahanga B Ground, Rwanda",1
"Gahanga International Cricket Stadium, Rwanda",1
Gahanga International Cricket Stadium. Rwanda,1
Galle International Stadium,1
Garon Park,-1
Geelong Cricket Ground,1
Gelephu International Cricket Ground,1
Gliderol Stadium,1
"Gliderol Stadium, Adelaide",-1
Gokaraju Liala Gangaaraju ACA Cricket Ground,1
Goldenacre,1
"Goldenacre, Edinburgh",1
Goodyear Park,-1
"Goodyear Park, Bloemfontein",-1
"Gorse Lane, Grantham",-1
Grace Road,-1
"Grace Road, Leicester",-1
Grainville,-1
"Grainville, St Saviour",-1
"Grainville, St Saviour, Jersey",1
Grand Prairie Stadium,1
"Grand Prairie Stadium, Dallas",1
"Grange Cricket Club Ground, Raeburn Place",-1
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",1
"Grange Cricket Club, Raeburn Place",-1
"Great Barrier Reef Arena, Mackay",1
Greater Noida Sports Complex Ground,1
Green Park,-1
"Green Park, Kanpur",1
Greenfield International Stadium,1
"Greenfield International Stadium, Thiruvananthapuram",1
Greenfield Stadium,1
"Ground 1, Independence Park",1
"Ground 2, Independence Park",1
Guanggong International Cricket Stadium,1
Gucherre Cricket Ground,1
"Guernsey Rovers Athletic Club Ground, Port Soif",1
Gurugram Cricket Ground (SRNCC),1
Guttsta Wicked Cricket Club,1
"Guyana National Stadium, Providence",1
Gymkhana Club,-1
Gymkhana Club Ground,-1
"Gymkhana Club Ground, Dar-es-Salaam",0
"Gymkhana Club Ground, Nairobi",1
Hagley Oval,-1
"Hagley Oval, Christchurch",1
Happy Valley Ground,1
Harare Sports Club,-1
Hare Field,-1
Harlequins,-1
Harrup Park,1
Haslegrave Ground,-1
"Haslegrave Ground, Loughborough",-1
Hazelaarweg,1
"Hazelaarweg, Rotterdam",-1
Headingley,1
"Headingley, Leeds",-1
Himachal Pradesh Cricket Association Stadium,1
"Himachal Pradesh Cricket Association Stadium, Dharamsala",-1
Holkar Cricket Stadium,1
"Holkar Cricket Stadium, Indore",1
Holkar Stadium,1
Hong Kong Cricket Club,1
Howell Oval,-1
"Hurlingham Club Ground, Buenos Aires",1
Hurstville Oval,-1
IC-Gurunanak College Ground,1
ICC Academy,-1
ICC Academy Ground No 2,1
"ICC Academy Ground No 2, Dubai",1
ICC Academy Oval 1,-1
ICC Academy Oval 2,1
"ICC Academy, Dubai",-1
ICC Global Cricket Academy,-1
"Independence Park, Port Vila",1
Indian Association Ground,-1
"Indian Association Ground, Singapore",1
Indian Petrochemicals Corporation Limited Sports Complex Ground,-1
"Instonians Cricket Club, Shaw's Bridge Lower Ground, Belfast",1
Integrated Polytechnic Regional Centre,1
International Sports Stadium,-1
"International Sports Stadium, Coffs Harbour",1
Invermay Park,1
"Invermay Park, Launceston",-1
Iqbal Stadium,1
"Iqbal Stadium, Faisalabad",-1
JSCA International Stadium Complex,-1
"JSCA International Stadium Complex, Ranchi",1
"JU Second Campus, Salt Lake",1
Jadavpur University Campus,1
"Jadavpur University Campus 2nd Ground, Kolkata",1
Jade Stadium,-1
"Jade Stadium, Christchurch",-1
Jaffery Sports Club Ground,1
Jawaharlal Nehru Stadium,1
Jinja Cricket Ground,1
John Davies Oval,-1
"John Davies Oval, Queenstown",-1
Johor Cricket Academy Oval,-1
"Jubilee Park, Ringwood, Melbourne",0
Junction Oval,1
"Junction Oval, Melbourne",-1
Kaizuka Cricket Ground,1
Kallang Ground,-1
Karen Rolton Oval,1
"Karen Rolton Oval, Adelaide",-1
"Karori Park, Wellington",1
Keenan Stadium,-1
Kennards Hire Community Oval,-1
Kennington Oval,-1
"Kennington Oval, London",1
Kensington Oval,1
"Kensington Oval, Barbados",-1
"Kensington Oval, Bridgetown",1
"Kensington Oval, Bridgetown, Barbados",1
Kent County Cricket Ground,-1
"Kent County Cricket Ground, Beckenham",-1
Kerava National Cricket Ground,1
Kerrydale Oval,1
Khan Shaheb Osman Ali Stadium,-1
Khettarama Stadium,-1
Kibworth Cricket Club Ground,-1
Kibworth Cricket Club New Ground,-1
King George V Sports Ground,1
"King George V Sports Ground, Castel",1
Kingsmead,-1
"Kingsmead, Durban",1
Kinrara Academy Oval,-1
"Kinrara Academy Oval, Kuala Lumpur",1
Kinrara Oval,-1
Koge Cricket Club,1
Koge Cricket Club 2,1
Kowloon Cricket Club,1
Kwekwe Sports Club,-1
"Kyambogo Cricket Ground, Kampala",-1
Kyambogo Cricket Oval,-1
LC de Villiers Oval,-1
La Manga Club Bottom Ground,1
La Manga Club Top Ground,1
"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",-1
Lalabhai Contractor Stadium,1
Lalbhai Contractor Stadium,1
"Latrobe Recreation Ground, Latrobe",1
Lavington Sports Oval,1
"Lavington Sports Oval, Albury",0
Lilac Hill Park,1
"Lilac Hill Park, Perth",1
"Lindum Sports Club Ground, Lincoln",-1
Lisicji Jarak Cricket Ground,1
Lochlands,1
Lord's,-1
"Lord's, London",1
"Lords, St David's Cricket Club Ground",1
Los Reyes Polo Club,1
Louth Cricket Club,-1
Lugogo Cricket Oval,-1
"Lugogo Cricket Oval, Kampala",-1
M Chinnaswamy Stadium,1
"M Chinnaswamy Stadium, Bangalore",0
"M Chinnaswamy Stadium, Bengaluru",1
M.Chinnaswamy Stadium,1
MA Aziz Stadium,-1
"MA Aziz Stadium, Chittagong",1
MA Chidambaram Stadium,1
"MA Chidambaram Stadium, Chepauk",-1
"MA Chidambaram Stadium, Chepauk, Chennai",1
Madhavrao Scindia Cricket Ground,-1
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1
Maharani Usharaje Trust Cricket Ground,-1
Maharashtra Cricket Association Stadium,1
"Maharashtra Cricket Association Stadium, Pune",1
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",-1
